passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_time_sec
2,3,-74.00778961,40.74027634,-73.96787262,40.7526741,57600
3,2.08,-73.99137878,40.74985886,-73.99723053,40.7249794,57600
1,1.4,-74.00112915,40.75304031,-73.97994232,40.75144577,57601
1,0.5,-73.98215485,40.76787949,-73.97637939,40.76461029,57601
1,1.31,-73.98273468,40.74545288,-73.98203278,40.7588768,57601
3,0.66,-73.99752045,40.7415657,-74.00295258,40.73357773,57601
1,1.7,-73.99678802,40.76354218,-73.97828674,40.75124359,57602
1,1.3,-73.99267578,40.75094604,-73.98020935,40.76053619,57603
3,0.8,-74.01572418,40.71075058,-74.01377106,40.70215988,57603
1,1.1,-73.97476959,40.76285553,-73.98792267,40.75934219,57603
1,0.3,-73.98934937,40.72926712,-73.98339081,40.72635269,57604
1,1.96,-73.98725891,40.76111984,-74.00533295,40.74013901,57604
1,1.3,-73.99412537,40.75114059,-73.9834137,40.76742554,57605
1,2.59,-73.98902893,40.75866318,-73.99210358,40.74645615,57605
1,1.1,-73.98841095,40.73741913,-73.98841095,40.74947739,57605
3,1.32,-73.99195862,40.7416687,-73.99367523,40.72715378,57610
1,1.2,-73.98122406,40.7587738,-73.97560883,40.7476387,57611
5,1.76,-73.99417877,40.7323494,-73.98449707,40.74817657,57612
1,0.95,-73.98861694,40.75894165,-73.9747467,40.75667953,57612
1,0.9,-73.98254395,40.76358414,-73.96738434,40.75706482,57612
1,1.1,-73.99147034,40.73904419,-74.00299072,40.72861862,57615
5,0.82,-73.98371124,40.74990845,-73.97276306,40.74158859,57615
5,1.34,-74.00323486,40.74379349,-73.9815979,40.73456955,57615
1,2.37,-73.96594238,40.75867844,-73.99221802,40.74107361,57615
1,1.64,-73.9962616,40.72525787,-74.00797272,40.7395668,57615
1,0.55,-73.97480774,40.75588608,-73.98396301,40.75936508,57617
1,1.87,-74.00601196,40.74375534,-74.01232147,40.72055817,57617
1,0.8,-74.01746368,40.70791245,-74.01542664,40.71534729,57618
1,1.9,-73.99420929,40.75118256,-73.97303772,40.75563812,57618
1,0.9,-73.98966217,40.7336998,-73.97793579,40.73762512,57618
1,2.56,-74.00299835,40.73342896,-73.978508,40.7589798,57619
1,1.54,-73.99533844,40.74958038,-73.9821701,40.76896667,57621
1,0.98,-74.00566864,40.72605896,-74.00619507,40.71434402,57624
1,1,-74.00219727,40.72950745,-73.99001312,40.73390961,57625
1,2.33,-74.00744629,40.72741699,-74.01159668,40.7037735,57625
1,1.3,-73.98816681,40.75426865,-74.0017395,40.74051285,57626
1,2,-74.00457764,40.74196625,-74.01043701,40.71911621,57626
1,3.7,-74.00679779,40.70574951,-73.99799347,40.7240715,57627
1,6.7,-73.99129486,40.74961853,-73.98697662,40.74251556,57627
5,0.69,-73.98162842,40.74686813,-73.98065186,40.7538414,57628
1,1.31,-73.97350311,40.75005341,-73.98908234,40.7483902,57628
2,0.4,-74.00738525,40.71590805,-74.00216675,40.71517944,57629
1,1.22,-73.9888916,40.73672104,-73.97924042,40.7499733,57629
2,1.2,-73.99241638,40.75617599,-73.97111511,40.75155258,57630
1,1.1,-73.9743042,40.759552,-73.9743042,40.759552,57630
2,1.6,-73.97351837,40.7634964,-73.98480988,40.74289322,57630
1,0.6,-73.9724884,40.76200867,-73.9814682,40.76663971,57630
2,1.24,-73.98795319,40.74971008,-73.97299194,40.75444031,57630
2,0.93,-74.00086975,40.72594833,-73.99640656,40.7163887,57631
2,0.78,-73.99563599,40.73676682,-74.00039673,40.73006821,57631
1,2.55,-73.9798584,40.76607895,-74.00582886,40.74017334,57632
4,2.27,-73.9783783,40.75211334,-74.00383759,40.74197388,57632
1,0.77,-73.98674011,40.74266815,-73.98774719,40.7507019,57632
5,0.83,-73.97949982,40.75242615,-73.97156525,40.76327133,57632
2,0.6,-74.00208282,40.7406311,-74.00302124,40.73512268,57633
1,1.26,-73.97460938,40.75638962,-73.98577118,40.74093628,57634
4,3,-73.98812866,40.74080658,-74.01127625,40.72362137,57637
1,1.57,-73.99919128,40.72273254,-74.0065918,40.73745346,57638
1,2.1,-74.00588226,40.70645523,-73.98471832,40.7256279,57638
1,0.9,-74.00326538,40.73887634,-73.99514771,40.74987411,57638
1,1.5,-73.96749878,40.76073074,-73.99111938,40.76524734,57639
1,0.6,-73.98391724,40.76212311,-73.97426605,40.75688171,57639
1,1.02,-73.99929047,40.7543602,-73.98861694,40.74601364,57641
1,1.3,-73.99369049,40.7495842,-73.99465179,40.7445488,57642
1,1.67,-73.9681015,40.76272964,-73.98561096,40.75278854,57643
1,3.9,-74.00761414,40.71302795,-73.99732971,40.76041031,57643
1,0.8,-73.9910965,40.75003433,-73.98529816,40.75359726,57643
1,1.7,-73.96880341,40.75066757,-73.9827652,40.76595306,57644
1,1.1,-73.97520447,40.75810242,-73.98776245,40.74920654,57645
1,6.93,-73.9697876,40.75997162,-74.01433563,40.71529388,57645
1,0.9,-73.98166656,40.75887299,-73.98140717,40.76898575,57645
2,4.94,-74.00904846,40.71736908,-74.00533295,40.74617767,57646
6,0.94,-73.98904419,40.75852585,-73.9910202,40.75001144,57646
1,0.79,-73.9878006,40.73629379,-73.98225403,40.7440033,57647
1,0.6,-73.99886322,40.72142029,-74.00674438,40.72027206,57647
1,3.5,-73.97233582,40.76402283,-73.99771118,40.72175217,57647
