tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_time_sec,dropoff_time_sec,min_travel_time
2015-07-13 16:00,2015-07-13 16:30,2,3,-74.00778961,40.74027634,-73.96787262,40.7526741,57600,59425,1825
2015-07-13 16:00,2015-07-13 16:12,3,2.08,-73.99137878,40.74985886,-73.99723053,40.7249794,57600,58348,748
2015-07-13 16:00,2015-07-13 16:13,1,1.4,-74.00112915,40.75304031,-73.97994232,40.75144577,57601,58395,794
2015-07-13 16:00,2015-07-13 16:04,1,0.5,-73.98215485,40.76787949,-73.97637939,40.76461029,57601,57857,256
2015-07-13 16:00,2015-07-13 16:10,1,1.31,-73.98273468,40.74545288,-73.98203278,40.7588768,57601,58214,613
2015-07-13 16:00,2015-07-13 16:01,3,0.66,-73.99752045,40.7415657,-74.00295258,40.73357773,57601,57699,98
2015-07-13 16:00,2015-07-13 16:04,1,0.76,-73.9799881,40.75090027,-73.9769516,40.74372101,57601,57846,245
2015-07-13 16:00,2015-07-13 16:13,1,1.7,-73.99678802,40.76354218,-73.97828674,40.75124359,57602,58422,820
2015-07-13 16:00,2015-07-13 16:06,1,0.6,-73.99720764,40.74703598,-73.99145508,40.75506973,57602,58018,416
2015-07-13 16:00,2015-07-13 16:06,1,0.97,-73.99481201,40.74016953,-73.98271942,40.74522018,57602,57987,385
2015-07-13 16:00,2015-07-13 16:13,1,1.3,-73.99267578,40.75094604,-73.98020935,40.76053619,57603,58421,818
2015-07-13 16:00,2015-07-13 16:09,3,0.8,-74.01572418,40.71075058,-74.01377106,40.70215988,57603,58187,584
2015-07-13 16:00,2015-07-13 16:21,1,1.1,-73.97476959,40.76285553,-73.98792267,40.75934219,57603,58892,1289
2015-07-13 16:00,2015-07-13 16:09,2,1.07,-73.99285889,40.75495148,-73.99420929,40.76489639,57603,58177,574
2015-07-13 16:00,2015-07-13 16:15,5,1.53,-74.01384735,40.7134819,-73.99873352,40.72322845,57604,58512,908
2015-07-13 16:00,2015-07-13 16:19,1,1.96,-73.98725891,40.76111984,-74.00533295,40.74013901,57604,58773,1169
2015-07-13 16:00,2015-07-13 16:01,1,0.3,-73.98934937,40.72926712,-73.98339081,40.72635269,57604,57719,115
2015-07-13 16:00,2015-07-13 16:23,1,4.5,-73.97109985,40.75862122,-74.00818634,40.72253799,57604,58980,1376
2015-07-13 16:00,2015-07-13 16:08,1,1.1,-73.98841095,40.73741913,-73.98841095,40.74947739,57605,58133,528
2015-07-13 16:00,2015-07-13 16:20,1,2.59,-73.98902893,40.75866318,-73.99210358,40.74645615,57605,58804,1199
2015-07-13 16:00,2015-07-13 16:08,1,1.3,-73.99412537,40.75114059,-73.9834137,40.76742554,57605,58112,507
2015-07-13 16:00,2015-07-13 16:14,3,1.3,-73.96896362,40.76110077,-73.98789978,40.76225281,57606,58452,846
2015-07-13 16:00,2015-07-13 16:02,6,0.35,-73.97614288,40.76026154,-73.97941589,40.75569534,57606,57771,165
2015-07-13 16:00,2015-07-13 16:18,1,1.63,-73.98175049,40.74609756,-73.9950943,40.7596283,57607,58712,1105
2015-07-13 16:00,2015-07-13 16:28,1,3.1,-73.99710846,40.72235489,-73.98526764,40.75344467,57608,59301,1693
2015-07-13 16:00,2015-07-13 16:11,3,1.32,-73.99195862,40.7416687,-73.99367523,40.72715378,57610,58282,672
2015-07-13 16:00,2015-07-13 16:15,1,1.2,-73.98122406,40.7587738,-73.97560883,40.7476387,57611,58523,912
2015-07-13 16:00,2015-07-13 16:10,1,0.9,-73.98254395,40.76358414,-73.96738434,40.75706482,57612,58250,638
2015-07-13 16:00,2015-07-13 16:15,5,1.76,-73.99417877,40.7323494,-73.98449707,40.74817657,57612,58536,924
2015-07-13 16:00,2015-07-13 16:07,1,0.95,-73.98861694,40.75894165,-73.9747467,40.75667953,57612,58026,414
2015-07-13 16:00,2015-07-13 16:11,1,0.8,-73.98049164,40.75470734,-73.97074127,40.76026535,57613,58284,671
2015-07-13 16:00,2015-07-13 16:16,1,1,-73.9831543,40.7666626,-73.99066162,40.75757599,57614,58605,991
2015-07-13 16:00,2015-07-13 16:08,1,1.1,-73.99147034,40.73904419,-74.00299072,40.72861862,57615,58126,511
2015-07-13 16:00,2015-07-13 16:07,5,0.82,-73.98371124,40.74990845,-73.97276306,40.74158859,57615,58045,430
2015-07-13 16:00,2015-07-13 16:10,5,1.34,-74.00323486,40.74379349,-73.9815979,40.73456955,57615,58224,609
2015-07-13 16:00,2015-07-13 16:14,1,2.37,-73.96594238,40.75867844,-73.99221802,40.74107361,57615,58489,874
2015-07-13 16:00,2015-07-13 16:10,1,1.64,-73.9962616,40.72525787,-74.00797272,40.7395668,57615,58213,598
