VehicleID,NodeID,RequestTime,ReachTime,NodeType,LacationID
0,SO_0,0,0,0,60
0,PI_5,44,143.85,2,5
0,PI_0,0,156.225,0,0
0,DR_5,44,234.1,0,35
0,PI_13,108,341.925,0,13
0,PI_23,208,404.85,0,23
0,DR_0,0,508.825,3,30
0,DR_13,108,566.325,3,43
0,DR_23,208,658.25,3,53
1,SO_0,0,0,0,60
1,PI_2,24,137.05,2,2
1,DR_2,24,213.525,0,32
1,PI_16,134,229.7,2,16
1,PI_15,120,236.4,2,15
1,DR_15,120,253.425,0,45
1,PI_17,146,296.325,2,17
1,PI_22,200,337.425,0,22
1,DR_17,146,357.325,0,47
1,PI_19,170,372.475,2,19
1,DR_22,200,409.025,3,52
1,PI_9,66,500.475,2,9
1,PI_26,238,540.775,2,26
1,DR_16,134,584.2,3,46
1,DR_26,238,625.675,3,56
1,DR_9,66,722.825,3,39
1,DR_19,170,791.025,3,49
2,SO_0,0,0,0,60
2,PI_3,40,195.525,0,3
2,DR_3,40,235.375,0,33
2,PI_12,90,258.175,0,12
2,PI_18,156,296.5,2,18
2,PI_21,196,449.3,0,21
2,DR_18,156,571.625,3,48
2,DR_21,196,656.3,3,51
2,DR_12,90,756.325,3,42
3,SO_0,0,0,0,60
3,PI_4,42,175.325,0,4
3,DR_4,42,306.6,0,34
3,PI_20,178,344.225,2,20
3,PI_14,110,393.65,0,14
3,DR_20,178,416.525,3,50
3,DR_14,110,442.8,3,44
4,SO_0,0,0,0,60
4,PI_8,60,164.1,2,8
4,PI_11,80,181.025,2,11
4,PI_6,48,228.9,0,6
4,DR_11,80,300.325,0,41
4,DR_6,48,349.2,3,36
4,PI_24,220,390.25,0,24
4,DR_8,60,405.575,3,38
4,DR_24,220,438.175,3,54
4,PI_7,58,535.325,2,7
4,DR_7,58,597.025,3,37
4,PI_27,244,742.85,2,27
4,DR_27,244,869.525,3,57
5,SO_0,0,0,0,60
5,PI_10,72,144.975,2,10
5,PI_1,6,207.05,0,1
5,DR_1,6,339.725,0,31
5,PI_25,236,375.65,0,25
5,DR_25,236,423.1,3,55
5,PI_29,280,436.95,2,29
5,PI_28,262,489.5,2,28
5,DR_10,72,633,3,40
5,DR_28,262,703.975,3,58
5,DR_29,280,840.9,3,59
