RequestID,nbPassengers,PickupID,DropOffID,RequestTime,PickReachTime,DropReachTime, VehicleID
0,1,0,30,0,156.225,214.2,0
1,1,1,31,6,207.05,370.675,5
2,3,2,32,24,137.05,213.525,1
3,1,3,33,40,195.525,235.375,2
4,1,4,34,42,175.325,326.725,3
5,1,5,35,44,143.85,262.05,0
6,2,6,36,48,228.9,381.25,4
7,4,7,37,58,430.2,491.9,5
8,1,8,38,60,164.1,280.15,4
9,1,9,39,66,217.7,752.3,3
10,1,10,40,72,144.975,233.375,5
11,1,11,41,80,181.025,332.375,4
12,1,12,42,90,258.175,455.875,2
13,1,13,43,108,595.75,771.725,5
14,1,14,44,110,554.175,654.9,5
15,2,15,45,120,236.4,342.45,1
16,1,16,46,134,229.7,375.725,1
17,1,17,47,146,293.75,633.25,1
18,1,18,48,156,293.975,516.275,0
19,1,19,49,170,338.45,568.6,0
20,2,20,50,178,369.925,418.425,0
21,1,21,51,196,482.75,572,1
22,2,22,52,200,303.25,576,2
23,2,23,53,208,399.275,713.725,1
24,3,24,54,220,356.375,404.3,3
25,3,25,55,236,460.3,507.75,4
26,1,26,56,238,373.35,423.925,2
27,1,27,57,244,554.2,680.875,3
28,1,28,58,262,408.425,717.675,4
29,2,29,59,280,521.6,587.275,4
