Epoch, ISUDIter,VehicleID,NodeID,RequestTime,ReachTime,NodeType,LocationID
1,0,0,SO_0,0,0,0,60
1,0,0,PI_5,44,0,2,5
1,0,0,PI_0,0,0,2,0
1,0,0,PI_6,48,0,2,6
1,0,0,DR_6,48,0,3,36
1,0,0,DR_0,0,0,3,30
1,0,0,DR_5,44,0,3,35
1,0,1,SO_0,0,0,0,60
1,0,1,PI_2,24,0,2,2
1,0,1,DR_2,24,0,3,32
1,0,2,SO_0,0,0,0,60
1,0,2,PI_3,40,0,2,3
1,0,2,PI_1,6,0,2,1
1,0,2,DR_1,6,0,3,31
1,0,2,DR_3,40,0,3,33
1,0,3,SO_0,0,0,0,60
1,0,3,PI_4,42,0,2,4
1,0,3,DR_4,42,0,3,34
1,0,4,SO_0,0,0,0,60
1,0,5,SO_0,0,0,0,60
2,0,0,PI_0,0,156.225,0,0
2,0,0,DR_0,0,0,3,30
2,0,0,DR_5,44,0,3,35
2,0,1,DR_2,24,213.525,0,32
2,0,1,PI_9,66,0,2,9
2,0,1,PI_12,90,0,2,12
2,0,1,DR_9,66,0,3,39
2,0,1,DR_12,90,0,3,42
2,0,2,PI_3,40,195.525,0,3
2,0,2,DR_3,40,0,3,33
2,0,3,PI_4,42,175.325,0,4
2,0,3,DR_4,42,0,3,34
2,0,3,PI_7,58,0,2,7
2,0,3,DR_7,58,0,3,37
2,0,4,SO_0,0,0,0,60
2,0,4,PI_8,60,0,2,8
2,0,4,PI_11,80,0,2,11
2,0,4,PI_6,48,0,2,6
2,0,4,DR_8,60,0,3,38
2,0,4,DR_11,80,0,3,41
2,0,4,DR_6,48,0,3,36
2,0,5,SO_0,0,0,0,60
2,0,5,PI_10,72,0,2,10
2,0,5,PI_1,6,0,2,1
2,0,5,DR_10,72,0,3,40
2,0,5,DR_1,6,0,3,31
2,1,0,PI_0,0,156.225,0,0
2,1,0,DR_0,0,0,3,30
2,1,0,DR_5,44,0,3,35
2,1,0,PI_7,58,0,2,7
2,1,0,DR_7,58,0,3,37
2,1,1,DR_2,24,213.525,0,32
2,1,1,PI_9,66,0,2,9
2,1,1,PI_12,90,0,2,12
