Epoch,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
1,0,SO_0,0,0,0,40.7439,-73.9899,60
1,1,SO_0,0,0,0,40.7439,-73.9899,60
1,2,SO_0,0,0,0,40.7439,-73.9899,60
1,3,SO_0,0,0,0,40.7439,-73.9899,60
1,4,SO_0,0,0,0,40.7439,-73.9899,60
1,5,SO_0,0,0,0,40.7439,-73.9899,60
2,0,SO_0,0,0,0,40.7439,-73.9899,60
2,0,PI_2,24,137.05,2,40.7417,-73.992,2
2,0,DR_2,24,213.525,0,40.7272,-73.9937,32
2,1,SO_0,0,0,0,40.7439,-73.9899,60
2,1,PI_6,48,171.45,0,40.7562,-73.9924,6
2,2,SO_0,0,0,0,40.7439,-73.9899,60
2,2,PI_3,40,195.525,0,40.7667,-73.9832,3
2,3,SO_0,0,0,0,40.7439,-73.9899,60
2,3,PI_4,42,175.325,0,40.7334,-74.003,4
2,4,SO_0,0,0,0,40.7439,-73.9899,60
2,4,PI_5,44,143.85,2,40.7496,-73.9953,5
2,4,PI_0,0,156.225,0,40.7509,-73.9927,0
2,5,SO_0,0,0,0,40.7439,-73.9899,60
2,5,PI_1,6,202.75,0,40.7224,-73.9971,1
3,0,SO_0,0,0,0,40.7439,-73.9899,60
3,0,PI_2,24,137.05,2,40.7417,-73.992,2
3,0,DR_2,24,213.525,0,40.7272,-73.9937,32
3,1,SO_0,0,0,0,40.7439,-73.9899,60
3,1,PI_6,48,171.45,0,40.7562,-73.9924,6
3,1,PI_12,90,219.725,0,40.7569,-73.9857,12
3,2,SO_0,0,0,0,40.7439,-73.9899,60
3,2,PI_3,40,195.525,0,40.7667,-73.9832,3
3,2,DR_3,40,235.375,0,40.7576,-73.9907,33
3,3,SO_0,0,0,0,40.7439,-73.9899,60
3,3,PI_4,42,175.325,0,40.7334,-74.003,4
3,3,PI_9,66,217.7,0,40.7391,-74.0031,9
3,4,SO_0,0,0,0,40.7439,-73.9899,60
3,4,PI_5,44,143.85,2,40.7496,-73.9953,5
3,4,PI_0,0,156.225,0,40.7509,-73.9927,0
3,4,PI_8,60,215.475,0,40.7581,-73.9752,8
3,5,SO_0,0,0,0,40.7439,-73.9899,60
3,5,PI_1,6,202.75,0,40.7224,-73.9971,1
4,0,SO_0,0,0,0,40.7439,-73.9899,60
4,0,PI_2,24,137.05,2,40.7417,-73.992,2
4,0,DR_2,24,213.525,0,40.7272,-73.9937,32
4,0,PI_10,72,258.65,0,40.7346,-73.9949,10
4,1,SO_0,0,0,0,40.7439,-73.9899,60
4,1,PI_6,48,171.45,0,40.7562,-73.9924,6
4,1,PI_12,90,219.725,0,40.7569,-73.9857,12
4,1,PI_17,146,302.15,0,40.74,-73.9857,17
4,2,SO_0,0,0,0,40.7439,-73.9899,60
4,2,PI_3,40,195.525,0,40.7667,-73.9832,3
4,2,DR_3,40,235.375,0,40.7576,-73.9907,33
4,2,PI_7,58,269.75,0,40.762,-74.0017,7
4,3,SO_0,0,0,0,40.7439,-73.9899,60
4,3,PI_4,42,175.325,0,40.7334,-74.003,4
4,3,PI_9,66,217.7,0,40.7391,-74.0031,9
4,3,PI_14,110,254.175,0,40.7431,-73.9964,14
4,4,SO_0,0,0,0,40.7439,-73.9899,60
4,4,PI_5,44,143.85,2,40.7496,-73.9953,5
4,4,PI_0,0,156.225,0,40.7509,-73.9927,0
4,4,PI_8,60,215.475,0,40.7581,-73.9752,8
4,4,PI_11,80,232.4,2,40.757,-73.9784,11
4,4,DR_0,0,252.9,0,40.7605,-73.9802,30
4,5,SO_0,0,0,0,40.7439,-73.9899,60
