Epoch,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
1,0,SO_0,0,0,0,40.7439,-73.9899,60
1,1,SO_0,0,0,0,40.7439,-73.9899,60
1,2,SO_0,0,0,0,40.7439,-73.9899,60
1,3,SO_0,0,0,0,40.7439,-73.9899,60
1,4,SO_0,0,0,0,40.7439,-73.9899,60
1,5,SO_0,0,0,0,40.7439,-73.9899,60
2,0,SO_0,0,0,0,40.7439,-73.9899,60
2,0,PI_5,44,44,2,40.7496,-73.9953,5
2,0,PI_13,108,108.875,2,40.7488,-74.0069,13
2,0,PI_17,146,172.9,2,40.74,-73.9857,17
2,0,DR_17,146,226.225,3,40.7496,-73.9879,47
2,0,PI_22,200,239.725,2,40.7479,-73.9837,22
2,0,DR_22,200,280.9,3,40.7555,-73.9921,52
2,0,PI_29,280,318.55,2,40.7535,-73.9898,29
2,0,DR_5,44,385.075,3,40.769,-73.9822,35
2,0,DR_29,280,425.75,3,40.7628,-73.9751,59
2,0,DR_13,108,474.2,3,40.7512,-73.9725,43
2,1,SO_0,0,0,0,40.7439,-73.9899,60
2,1,PI_0,0,56.225,2,40.7509,-73.9927,0
2,1,PI_6,48,83.45,2,40.7562,-73.9924,6
2,1,PI_12,90,131.725,2,40.7569,-73.9857,12
2,1,DR_0,0,156.3,3,40.7605,-73.9802,30
2,1,PI_18,156,170.05,2,40.7607,-73.9836,18
2,1,DR_18,156,198.875,3,40.7581,-73.9779,48
2,1,PI_11,80,217.2,2,40.757,-73.9784,11
2,1,DR_6,48,242.3,3,40.7516,-73.9711,36
2,1,PI_28,262,269.475,2,40.748,-73.9766,28
2,1,DR_11,80,315.575,3,40.7425,-73.9782,41
2,1,DR_12,90,394.025,3,40.7294,-73.9914,42
2,1,DR_28,262,457.925,3,40.7352,-74.0018,58
2,2,SO_0,0,0,0,40.7439,-73.9899,60
2,2,PI_8,60,64.1,2,40.7581,-73.9752,8
2,2,PI_3,40,95.525,2,40.7667,-73.9832,3
2,2,DR_3,40,135.375,3,40.7576,-73.9907,33
2,2,PI_19,170,170.3,2,40.7531,-73.9855,19
2,2,DR_8,60,209.125,3,40.7492,-73.9878,38
2,2,PI_25,236,243.075,2,40.7564,-73.9902,25
2,2,DR_25,236,290.525,3,40.75,-73.9825,55
2,2,DR_19,170,348,3,40.761,-74.0023,49
2,2,PI_7,58,376.275,2,40.762,-74.0017,7
2,2,DR_7,58,437.975,3,40.7497,-73.9876,37
2,3,SO_0,0,0,0,40.7439,-73.9899,60
2,3,PI_4,42,75.325,2,40.7334,-74.003,4
2,3,PI_16,134,134,2,40.7256,-73.9921,16
2,3,PI_15,120,140.7,2,40.7269,-73.9915,15
2,3,DR_15,120,157.725,3,40.7305,-73.9901,45
2,3,DR_16,134,191,3,40.7353,-73.9984,46
2,3,PI_23,208,214.55,2,40.7398,-74.0024,23
2,3,PI_26,238,263.075,2,40.735,-73.9918,26
2,3,DR_26,238,313.65,3,40.7329,-73.9862,56
2,3,DR_4,42,423.025,3,40.759,-73.9785,34
2,3,DR_23,208,481.15,3,40.7715,-73.9889,53
2,4,SO_0,0,0,0,40.7439,-73.9899,60
2,4,PI_9,66,81.725,2,40.7391,-74.0031,9
2,4,PI_14,110,118.2,2,40.7431,-73.9964,14
2,4,PI_20,178,185.3,2,40.7478,-73.9852,20
2,4,DR_20,178,233.8,3,40.7434,-73.9963,50
2,4,DR_14,110,260.075,3,40.7381,-74.0008,44
2,4,DR_9,66,374.475,3,40.758,-73.9756,39
2,5,SO_0,0,0,0,40.7439,-73.9899,60
2,5,PI_2,24,37.05,2,40.7417,-73.992,2
2,5,PI_10,72,72,2,40.7346,-73.9949,10
2,5,DR_10,72,129.4,3,40.7239,-74.001,40
2,5,PI_1,6,144.025,2,40.7224,-73.9971,1
2,5,DR_2,24,163.1,3,40.7272,-73.9937,32
2,5,PI_21,196,196,2,40.7267,-73.9941,21
2,5,PI_27,244,265.825,2,40.7151,-73.9924,27
2,5,DR_21,196,373.75,3,40.7416,-73.9752,51
2,5,DR_1,6,426.975,3,40.7534,-73.9853,31
2,5,PI_24,220,449.3,2,40.7493,-73.9838,24
2,5,DR_24,220,497.225,3,40.7457,-73.9938,54
2,5,DR_27,244,527.05,3,40.7423,-73.9908,57
