VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
0,SO_0,0,0,0,40.7439,-73.9899,60
0,PI_3,40,195.525,0,40.7667,-73.9832,3
0,DR_3,40,235.375,0,40.7576,-73.9907,33
0,PI_7,58,269.75,0,40.762,-74.0017,7
0,DR_7,58,331.45,0,40.7497,-73.9876,37
0,PI_24,220,362.5,0,40.7493,-73.9838,24
0,PI_28,262,395.8,2,40.748,-73.9766,28
0,DR_28,262,511.35,3,40.7352,-74.0018,58
0,DR_24,220,584.95,3,40.7457,-73.9938,54
1,SO_0,0,0,0,40.7439,-73.9899,60
1,PI_1,6,202.75,0,40.7224,-73.9971,1
1,PI_16,134,226.9,2,40.7256,-73.9921,16
1,PI_15,120,233.6,2,40.7269,-73.9915,15
1,DR_15,120,250.625,0,40.7305,-73.9901,45
1,PI_10,72,281.925,2,40.7346,-73.9949,10
1,PI_21,196,325.975,0,40.7267,-73.9941,21
1,DR_10,72,362.225,0,40.7239,-74.001,40
1,PI_27,244,420.525,2,40.7151,-73.9924,27
1,DR_16,134,522.05,3,40.7353,-73.9984,46
1,DR_27,244,561.575,3,40.7423,-73.9908,57
1,DR_21,196,621.175,3,40.7416,-73.9752,51
1,DR_1,6,674.4,3,40.7534,-73.9853,31
2,SO_0,0,0,0,40.7439,-73.9899,60
2,PI_6,48,171.45,0,40.7562,-73.9924,6
2,PI_12,90,219.725,0,40.7569,-73.9857,12
2,DR_6,48,260.325,0,40.7516,-73.9711,36
2,PI_22,200,307.25,0,40.7479,-73.9837,22
2,DR_22,200,348.425,3,40.7555,-73.9921,52
2,PI_25,236,377.55,0,40.7564,-73.9902,25
2,DR_25,236,425,3,40.75,-73.9825,55
2,PI_29,280,438.85,2,40.7535,-73.9898,29
2,DR_29,280,504.525,3,40.7628,-73.9751,59
2,DR_12,90,649.6,3,40.7294,-73.9914,42
3,SO_0,0,0,0,40.7439,-73.9899,60
3,PI_4,42,175.325,0,40.7334,-74.003,4
3,PI_9,66,217.7,0,40.7391,-74.0031,9
3,PI_13,108,263.225,0,40.7488,-74.0069,13
3,PI_14,110,301.575,0,40.7431,-73.9964,14
3,DR_14,110,326.925,3,40.7381,-74.0008,44
3,PI_26,238,371.65,0,40.735,-73.9918,26
3,DR_26,238,422.225,3,40.7329,-73.9862,56
3,DR_13,108,502.85,3,40.7512,-73.9725,43
3,DR_9,66,542.075,3,40.758,-73.9756,39
3,DR_4,42,569.025,3,40.759,-73.9785,34
4,SO_0,0,0,0,40.7439,-73.9899,60
4,PI_2,24,137.05,2,40.7417,-73.992,2
4,DR_2,24,213.525,0,40.7272,-73.9937,32
4,PI_17,146,270.25,0,40.74,-73.9857,17
4,PI_20,178,312.05,0,40.7478,-73.9852,20
4,DR_20,178,360.55,0,40.7434,-73.9963,50
4,PI_23,208,391.025,2,40.7398,-74.0024,23
4,DR_17,146,462.025,3,40.7496,-73.9879,47
4,DR_23,208,542.5,3,40.7715,-73.9889,53
5,SO_0,0,0,0,40.7439,-73.9899,60
5,PI_5,44,143.85,2,40.7496,-73.9953,5
5,PI_0,0,156.225,0,40.7509,-73.9927,0
5,PI_8,60,215.475,0,40.7581,-73.9752,8
5,PI_11,80,232.4,2,40.757,-73.9784,11
5,DR_8,60,270.125,0,40.7492,-73.9878,38
5,PI_19,170,289.55,2,40.7531,-73.9855,19
5,DR_0,0,313.7,0,40.7605,-73.9802,30
5,PI_18,156,327.45,2,40.7607,-73.9836,18
5,DR_18,156,356.275,0,40.7581,-73.9779,48
5,DR_5,44,397.175,3,40.769,-73.9822,35
5,DR_19,170,453.775,3,40.761,-74.0023,49
5,DR_11,80,547.975,3,40.7425,-73.9782,41
