RequestID,nbPassengers,PickLatitude,PickLongitude,DropLatitude,DropLongitude, PickupID,DropOffID,RequestTime,PickReachTime,DropReachTime, VehicleID
0,1,40.7509,-73.9927,40.7605,-73.9802,0,30,57600,57756.2,57852.9,5
1,1,40.7224,-73.9971,40.7534,-73.9853,1,31,57606,57802.8,58078.5,1
2,3,40.7417,-73.992,40.7272,-73.9937,2,32,57624,57737.1,57813.5,4
3,1,40.7667,-73.9832,40.7576,-73.9907,3,33,57640,57795.5,57835.4,0
4,1,40.7334,-74.003,40.759,-73.9785,4,34,57642,57775.3,58197,3
5,1,40.7496,-73.9953,40.769,-73.9822,5,35,57644,57743.9,57906.3,5
6,2,40.7562,-73.9924,40.7516,-73.9711,6,36,57648,57771.4,57860.3,2
7,4,40.762,-74.0017,40.7497,-73.9876,7,37,57658,57869.8,57931.4,0
8,1,40.7581,-73.9752,40.7492,-73.9878,8,38,57660,57815.5,58194.3,5
9,1,40.7391,-74.0031,40.758,-73.9756,9,39,57666,57817.7,58170.1,3
10,1,40.7346,-73.9949,40.7239,-74.001,10,40,57672,57858.7,58038.2,4
11,1,40.757,-73.9784,40.7425,-73.9782,11,41,57680,57832.4,58141.8,5
12,1,40.7569,-73.9857,40.7294,-73.9914,12,42,57690,57819.7,58132.4,2
13,1,40.7488,-74.0069,40.7512,-73.9725,13,43,57708,57895.8,58130.8,3
14,1,40.7431,-73.9964,40.7381,-74.0008,14,44,57710,57854.2,57954.9,3
15,2,40.7269,-73.9915,40.7305,-73.9901,15,45,57720,57833.6,57850.6,1
16,1,40.7256,-73.9921,40.7353,-73.9984,16,46,57734,57826.9,57967.7,1
17,1,40.74,-73.9857,40.7496,-73.9879,17,47,57746,57893.5,58062.2,1
18,1,40.7607,-73.9836,40.7581,-73.9779,18,48,57756,57866.7,57952.5,5
19,1,40.7531,-73.9855,40.761,-74.0023,19,49,57770,57971.1,58088.8,0
20,2,40.7478,-73.9852,40.7434,-73.9963,20,50,57778,57944.3,58169.1,0
21,1,40.7267,-73.9941,40.7416,-73.9752,21,51,57796,57902.7,58158.2,4
22,2,40.7479,-73.9837,40.7555,-73.9921,22,52,57800,57907.2,57948.4,2
23,2,40.7398,-74.0024,40.7715,-73.9889,23,53,57808,57991.2,58142.7,1
24,3,40.7493,-73.9838,40.7457,-73.9938,24,54,57820,58031.1,58228.1,2
25,3,40.7564,-73.9902,40.75,-73.9825,25,55,57836,57977.6,58025,2
26,1,40.735,-73.9918,40.7329,-73.9862,26,56,57838,57999.6,58050.2,3
27,1,40.7151,-73.9924,40.7423,-73.9908,27,57,57844,57972.5,58232.4,4
28,1,40.748,-73.9766,40.7352,-74.0018,28,58,57862,58012.9,58204.1,0
29,2,40.7535,-73.9898,40.7628,-73.9751,29,59,57880,57997.6,58063.3,5
