Epoch, ISUDIter,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
1,0,0,SO_0,0,0,0,40.7439,-73.9899,60
1,0,0,PI_3,57640,0,2,40.7667,-73.9832,3
1,0,0,DR_3,57640,0,3,40.7576,-73.9907,33
1,0,1,SO_0,0,0,0,40.7439,-73.9899,60
1,0,1,PI_2,57624,0,2,40.7417,-73.992,2
1,0,1,PI_1,57606,0,2,40.7224,-73.9971,1
1,0,1,DR_2,57624,0,3,40.7272,-73.9937,32
1,0,1,DR_1,57606,0,3,40.7534,-73.9853,31
1,0,2,SO_0,0,0,0,40.7439,-73.9899,60
1,0,2,PI_6,57648,0,2,40.7562,-73.9924,6
1,0,2,DR_6,57648,0,3,40.7516,-73.9711,36
1,0,3,SO_0,0,0,0,40.7439,-73.9899,60
1,0,3,PI_4,57642,0,2,40.7334,-74.003,4
1,0,3,DR_4,57642,0,3,40.759,-73.9785,34
1,0,4,SO_0,0,0,0,40.7439,-73.9899,60
1,0,4,PI_0,57600,0,2,40.7509,-73.9927,0
1,0,4,DR_0,57600,0,3,40.7605,-73.9802,30
1,0,5,SO_0,0,0,0,40.7439,-73.9899,60
1,0,5,PI_5,57644,0,2,40.7496,-73.9953,5
1,0,5,DR_5,57644,0,3,40.769,-73.9822,35
1,1,0,SO_0,0,0,0,40.7439,-73.9899,60
1,1,0,PI_3,57640,0,2,40.7667,-73.9832,3
1,1,0,DR_3,57640,0,3,40.7576,-73.9907,33
1,1,1,SO_0,0,0,0,40.7439,-73.9899,60
1,1,1,PI_1,57606,0,2,40.7224,-73.9971,1
1,1,1,DR_1,57606,0,3,40.7534,-73.9853,31
1,1,2,SO_0,0,0,0,40.7439,-73.9899,60
1,1,2,PI_6,57648,0,2,40.7562,-73.9924,6
1,1,2,DR_6,57648,0,3,40.7516,-73.9711,36
1,1,3,SO_0,0,0,0,40.7439,-73.9899,60
1,1,3,PI_4,57642,0,2,40.7334,-74.003,4
1,1,3,DR_4,57642,0,3,40.759,-73.9785,34
1,1,4,SO_0,0,0,0,40.7439,-73.9899,60
1,1,4,PI_2,57624,0,2,40.7417,-73.992,2
1,1,4,DR_2,57624,0,3,40.7272,-73.9937,32
1,1,5,SO_0,0,0,0,40.7439,-73.9899,60
1,1,5,PI_5,57644,0,2,40.7496,-73.9953,5
1,1,5,PI_0,57600,0,2,40.7509,-73.9927,0
1,1,5,DR_0,57600,0,3,40.7605,-73.9802,30
1,1,5,DR_5,57644,0,3,40.769,-73.9822,35
2,0,0,PI_3,57640,57795.5,0,40.7667,-73.9832,3
2,0,0,DR_3,57640,0,3,40.7576,-73.9907,33
2,0,1,PI_1,57606,57802.8,0,40.7224,-73.9971,1
2,0,1,DR_1,57606,0,3,40.7534,-73.9853,31
2,0,2,PI_6,57648,57771.4,0,40.7562,-73.9924,6
2,0,2,DR_6,57648,0,3,40.7516,-73.9711,36
2,0,3,PI_4,57642,57775.3,0,40.7334,-74.003,4
2,0,3,DR_4,57642,0,3,40.759,-73.9785,34
2,0,4,DR_2,57624,57813.5,0,40.7272,-73.9937,32
2,0,5,PI_0,57600,57756.2,0,40.7509,-73.9927,0
2,0,5,PI_12,57690,0,2,40.7569,-73.9857,12
2,0,5,PI_11,57680,0,2,40.757,-73.9784,11
2,0,5,DR_0,57600,0,3,40.7605,-73.9802,30
2,0,5,PI_8,57660,0,2,40.7581,-73.9752,8
2,0,5,DR_5,57644,0,3,40.769,-73.9822,35
2,0,5,DR_8,57660,0,3,40.7492,-73.9878,38
2,0,5,DR_11,57680,0,3,40.7425,-73.9782,41
2,0,5,DR_12,57690,0,3,40.7294,-73.9914,42
2,1,0,PI_3,57640,57795.5,0,40.7667,-73.9832,3
2,1,0,DR_3,57640,0,3,40.7576,-73.9907,33
2,1,1,PI_1,57606,57802.8,0,40.7224,-73.9971,1
2,1,1,DR_1,57606,0,3,40.7534,-73.9853,31
2,1,2,PI_6,57648,57771.4,0,40.7562,-73.9924,6
