VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude
0,SO_0,0,0,0,40.7439,-73.9899
0,PI_0,0,14.9933,2,40.7509,-73.9927
0,PI_6,22,22.2533,2,40.7562,-73.9924
0,PI_5,21,35.08,2,40.7496,-73.9953
0,DR_6,22,54.34,3,40.7516,-73.9711
0,DR_0,0,67.4067,3,40.7605,-73.9802
0,DR_5,21,80.1667,0,40.769,-73.9822
0,PI_12,52,95.2333,2,40.7569,-73.9857
0,PI_11,47,103.4,2,40.757,-73.9784
0,PI_10,42,126.767,0,40.7346,-73.9949
0,PI_21,85,138.513,2,40.7267,-73.9941
0,DR_12,52,145.147,3,40.7294,-73.9914
0,PI_17,73,158.593,0,40.74,-73.9857
0,DR_17,73,172.813,3,40.7496,-73.9879
0,PI_19,79,176.853,2,40.7531,-73.9855
0,DR_11,47,193.073,0,40.7425,-73.9782
0,DR_21,85,196.073,3,40.7416,-73.9752
0,PI_33,130,206.727,2,40.7505,-73.9808
0,PI_37,146,210.313,0,40.7511,-73.9781
0,DR_19,79,231.933,3,40.761,-74.0023
0,PI_28,113,252,0,40.748,-73.9766
0,DR_37,146,270.447,3,40.7396,-73.9884
0,DR_10,42,293.953,3,40.7239,-74.001
0,DR_33,130,320.78,3,40.7405,-73.9903
0,DR_28,113,335,3,40.7352,-74.0018
0,SI_0,0,310.22,1,40.7439,-73.9899
1,SO_0,0,0,0,40.7439,-73.9899
1,PI_2,10,10,2,40.7417,-73.992
1,PI_4,16,27.1,2,40.7334,-74.003
1,DR_2,10,38.9133,3,40.7272,-73.9937
1,PI_1,5,48.3867,2,40.7224,-73.9971
1,DR_1,5,83.7667,3,40.7534,-73.9853
1,DR_4,16,89.8733,0,40.759,-73.9785
1,PI_22,90,99.98,2,40.7479,-73.9837
1,PI_20,80,102.187,2,40.7478,-73.9852
1,DR_20,80,115.12,3,40.7434,-73.9963
1,PI_14,62,115.367,2,40.7431,-73.9964
1,DR_14,62,122.127,3,40.7381,-74.0008
1,DR_22,90,143.607,0,40.7555,-73.9921
1,PI_25,101,151.373,2,40.7564,-73.9902
1,DR_25,101,164.027,3,40.75,-73.9825
1,PI_24,100,165.653,2,40.7493,-73.9838
1,DR_24,100,178.433,3,40.7457,-73.9938
1,PI_29,118,190.693,0,40.7535,-73.9898
1,PI_31,124,202.833,2,40.747,-73.9934
1,PI_30,119,213.673,0,40.7378,-74.0004
1,DR_30,119,225.54,3,40.7332,-74.0089
1,PI_26,106,242.287,0,40.735,-73.9918
1,DR_29,118,278.8,3,40.7628,-73.9751
1,DR_31,124,302.487,3,40.7397,-73.9794
1,DR_26,106,311.953,3,40.7329,-73.9862
1,SI_0,0,310.22,1,40.7439,-73.9899
2,SO_0,0,0,0,40.7439,-73.9899
2,PI_3,11,25.4733,2,40.7667,-73.9832
2,DR_3,11,36.1,3,40.7576,-73.9907
2,PI_7,27,45.2667,2,40.762,-74.0017
2,DR_7,27,61.72,0,40.7497,-73.9876
2,PI_8,32,73.9267,2,40.7581,-73.9752
2,PI_13,57,106.167,2,40.7488,-74.0069
2,PI_9,37,121.58,0,40.7391,-74.0031
2,DR_8,32,147.353,3,40.7492,-73.9878
2,DR_9,37,159.713,0,40.758,-73.9756
2,PI_18,74,167.087,2,40.7607,-73.9836
2,DR_13,57,182.293,0,40.7512,-73.9725
2,PI_15,67,213.373,0,40.7269,-73.9915
2,PI_16,72,217.387,2,40.7256,-73.9921
2,DR_15,67,223.713,3,40.7305,-73.9901
2,PI_41,166,236.513,2,40.7364,-73.9909
2,DR_16,72,247.62,0,40.7353,-73.9984
2,DR_18,74,276.253,3,40.7581,-73.9779
2,PI_45,178,293.613,2,40.7486,-73.9889
2,DR_45,178,303.867,3,40.7524,-73.9783
2,DR_41,166,317.14,3,40.7447,-73.9856
2,SI_0,0,310.22,1,40.7439,-73.9899
3,SO_0,0,0,0,40.7439,-73.9899
3,PI_23,95,95,2,40.7398,-74.0024
3,PI_27,107,131.807,2,40.7151,-73.9924
3,DR_23,95,187,0,40.7715,-73.9889
3,PI_32,125,218.08,0,40.7411,-73.9888
3,DR_27,107,219.94,3,40.7423,-73.9908
3,PI_35,140,230.507,2,40.7343,-73.9903
3,PI_34,135,239.12,2,40.7334,-73.9811
3,DR_34,135,248.68,0,40.7381,-73.9735
3,DR_32,125,264.887,3,40.7444,-73.9813
3,DR_35,140,289.62,3,40.7417,-74.0047
3,SI_0,0,310.22,1,40.7439,-73.9899
