passenger_count,pickup_ID,dropoff_ID,request_time_sec
1,665,568,25200
1,1053,527,25200
1,788,782,25201
1,441,578,25201
1,1170,982,25201
1,816,836,25202
1,369,624,25203
1,354,604,25204
1,247,488,25204
4,354,604,25204
1,345,692,25204
1,1106,1045,25204
1,743,604,25204
1,352,698,25205
1,581,691,25205
1,630,465,25205
1,46,573,25205
1,662,726,25206
2,863,1199,25206
1,603,694,25207
1,781,648,25207
1,597,47,25207
1,170,116,25207
2,621,697,25207
3,418,534,25207
2,410,600,25208
4,410,600,25208
1,925,982,25208
1,597,487,25208
1,118,646,25208
1,622,640,25208
1,608,509,25209
1,513,747,25209
1,434,760,25209
1,905,585,25209
2,668,593,25209
1,620,626,25210
1,608,748,25211
4,608,748,25211
2,737,829,25211
1,621,509,25211
1,813,695,25211
1,461,554,25212
1,723,728,25212
1,1251,529,25212
1,557,600,25212
2,598,604,25212
4,723,728,25212
1,743,608,25215
4,466,836,25215
2,466,836,25215
1,817,727,25216
1,992,652,25217
1,458,603,25217
1,768,883,25217
2,851,727,25217
4,1034,1053,25217
1,816,628,25217
2,1034,1053,25217
4,697,1032,25217
2,697,1032,25217
1,254,600,25217
1,535,355,25217
2,436,640,25218
1,618,551,25218
1,130,268,25219
4,335,649,25219
2,335,649,25219
1,813,1218,25220
1,479,595,25221
1,155,416,25221
1,631,948,25221
1,436,716,25221
1,335,696,25221
1,134,475,25221
1,444,694,25221
1,598,738,25222
1,621,717,25223
1,629,749,25223
1,817,631,25223
1,759,852,25224
1,939,599,25224
1,431,651,25224
1,836,724,25224
1,1022,123,25225
1,863,628,25225
4,817,692,25226
2,817,692,25226
1,410,669,25226
1,906,1218,25226
2,779,690,25226
1,479,348,25227
1,768,461,25227
1,304,555,25228
1,228,171,25228
1,268,116,25228
1,510,602,25228
1,527,671,25228
1,284,668,25228
1,574,443,25228
1,527,668,25228
1,531,602,25229
1,766,835,25230
1,838,602,25230
1,598,669,25230
1,852,649,25230
1,841,699,25230
1,527,416,25230
1,557,699,25231
4,510,718,25231
2,510,718,25231
1,690,1098,25231
3,679,557,25231
1,717,717,25232
1,913,716,25232
1,325,526,25232
3,939,916,25232
2,913,727,25232
1,290,417,25233
1,791,905,25233
2,579,721,25233
1,573,851,25233
1,605,621,25233
1,296,328,25234
4,582,557,25234
2,582,557,25234
1,191,365,25234
1,328,675,25234
1,418,354,25234
1,1066,438,25234
1,858,742,25234
1,504,604,25234
4,296,328,25234
1,882,722,25235
1,373,511,25235
3,904,511,25235
1,768,649,25235
2,607,160,25236
1,526,720,25236
2,137,526,25236
1,499,643,25236
1,621,603,25237
1,372,556,25238
1,720,483,25238
1,345,718,25238
1,368,46,25238
2,527,747,25239
1,718,397,25239
1,804,134,25240
4,621,696,25240
1,621,696,25240
1,768,749,25241
1,461,652,25241
1,646,711,25242
1,457,554,25242
1,1153,1077,25242
1,992,651,25242
1,465,355,25243
1,747,1106,25243
1,622,9,25243
2,216,421,25243
2,1057,1087,25243
1,644,457,25244
1,376,748,25245
4,929,35,25245
1,929,35,25245
1,486,558,25245
1,679,969,25245
1,578,647,25245
1,983,646,25245
1,702,233,25245
2,621,651,25245
1,801,372,25246
4,801,372,25246
1,527,416,25246
1,947,693,25246
1,908,415,25246
1,959,669,25246
1,701,20,25247
1,125,652,25247
1,1107,716,25247
1,862,793,25248
2,794,554,25248
1,526,693,25248
1,985,600,25248
1,482,415,25248
4,209,694,25248
2,209,694,25248
2,412,527,25248
1,527,624,25249
1,598,555,25249
2,970,602,25250
1,252,628,25250
1,463,600,25250
1,118,600,25250
4,795,837,25250
1,795,837,25250
1,482,599,25251
2,284,389,25251
1,333,630,25251
1,347,928,25252
1,216,10,25252
1,839,887,25253
1,841,410,25253
2,466,138,25253
4,829,198,25253
3,466,671,25253
1,796,555,25254
1,746,693,25254
1,555,675,25255
4,555,675,25255
1,836,578,25255
1,434,416,25255
1,937,1066,25255
1,252,116,25256
1,678,629,25256
1,972,580,25256
1,771,651,25256
1,782,882,25256
1,948,696,25259
1,1022,1066,25259
1,972,48,25259
1,624,527,25259
4,498,674,25259
2,498,674,25259
1,233,509,25259
1,739,579,25261
2,552,810,25262
1,527,416,25262
1,312,671,25262
2,487,395,25262
1,621,438,25262
1,579,545,25263
1,483,599,25263
1,958,875,25263
1,328,527,25263
1,1106,850,25264
1,504,600,25266
1,152,719,25266
2,621,850,25266
1,805,673,25267
4,805,673,25267
1,79,534,25267
1,827,669,25268
2,1110,525,25268
1,770,651,25268
1,256,353,25268
2,22,604,25269
1,817,727,25269
1,137,649,25269
1,418,882,25269
1,487,417,25270
1,1230,580,25270
1,309,232,25271
2,723,651,25271
3,882,554,25271
1,757,274,25271
1,724,669,25271
4,724,669,25271
1,549,579,25272
1,882,232,25272
1,499,134,25272
1,1027,673,25273
1,693,504,25274
2,297,369,25274
4,1417,1217,25274
2,1417,1217,25274
1,415,454,25274
4,963,291,25275
1,963,291,25275
1,602,602,25275
1,598,554,25275
1,630,600,25275
1,373,697,25276
1,907,313,25277
