RequestID,nbPassengers,PickupID,DropOffID,RequestTime,PickReachTime,DropReachTime, VehicleID
0,1,0,30,0,156.225,214.2,0
1,1,1,31,6,207.05,505.675,5
2,3,2,32,24,137.05,213.525,1
3,1,3,33,40,195.525,288.4,2
4,1,4,34,42,175.325,306.6,3
5,1,5,35,44,143.85,262.05,0
6,2,6,36,48,228.9,654.275,4
7,4,7,37,58,571.8,633.5,0
8,1,8,38,60,164.1,280.15,4
9,1,9,39,66,290.425,535.15,5
10,1,10,40,72,144.975,368.375,5
11,1,11,41,80,181.025,479.4,4
12,1,12,42,90,249.65,677.625,2
13,1,13,43,108,429.35,538.625,3
14,1,14,44,110,387.775,657.225,3
15,2,15,45,120,236.4,342.45,1
16,1,16,46,134,229.7,375.725,1
17,1,17,47,146,293.75,764.425,1
18,1,18,48,156,293.975,322.8,0
19,1,19,49,170,323.325,514.9,2
20,2,20,50,178,442.375,595.2,2
21,1,21,51,196,394.95,490.65,4
22,2,22,52,200,355.075,396.25,2
23,2,23,53,208,399.275,844.9,1
24,3,24,54,220,426.725,474.65,0
25,3,25,55,236,373.175,420.625,0
26,1,26,56,238,447.8,498.375,1
27,1,27,57,244,582.75,709.425,1
28,1,28,58,262,521.025,677.725,3
29,2,29,59,280,543.05,608.725,4
