VehicleID,NodeID,RequestTime,ReachTime,NodeType,LacationID
0,SO_0,0,0,0,60
0,PI_5,44,143.85,2,5
0,PI_0,0,156.225,0,0
0,DR_0,0,214.2,0,30
0,DR_5,44,262.05,0,35
0,PI_18,156,293.975,2,18
0,PI_19,170,338.45,0,19
0,PI_20,178,369.925,0,20
0,DR_20,178,418.425,3,50
0,DR_18,156,516.275,3,48
0,DR_19,170,568.6,3,49
1,SO_0,0,0,0,60
1,PI_2,24,137.05,2,2
1,DR_2,24,213.525,0,32
1,PI_16,134,229.7,2,16
1,PI_15,120,236.4,2,15
1,PI_17,146,293.75,0,17
1,DR_15,120,342.45,0,45
1,DR_16,134,375.725,0,46
1,PI_23,208,399.275,2,23
1,PI_21,196,482.75,2,21
1,DR_21,196,572,3,51
1,DR_17,146,633.25,3,47
1,DR_23,208,713.725,3,53
2,SO_0,0,0,0,60
2,PI_3,40,195.525,0,3
2,DR_3,40,235.375,0,33
2,PI_12,90,258.175,0,12
2,PI_22,200,303.25,0,22
2,PI_26,238,373.35,0,26
2,DR_26,238,423.925,3,56
2,DR_12,90,455.875,3,42
2,DR_22,200,576,3,52
3,SO_0,0,0,0,60
3,PI_4,42,175.325,0,4
3,PI_9,66,217.7,0,9
3,DR_4,42,326.725,0,34
3,PI_24,220,356.375,0,24
3,DR_24,220,404.3,3,54
3,PI_27,244,554.2,2,27
3,DR_27,244,680.875,3,57
3,DR_9,66,752.3,3,39
4,SO_0,0,0,0,60
4,PI_8,60,164.1,2,8
4,PI_11,80,181.025,2,11
4,PI_6,48,228.9,0,6
4,DR_8,60,280.15,0,38
4,DR_11,80,332.375,0,41
4,DR_6,48,381.25,0,36
4,PI_28,262,408.425,2,28
4,PI_25,236,460.3,2,25
4,DR_25,236,507.75,3,55
4,PI_29,280,521.6,2,29
4,DR_29,280,587.275,3,59
4,DR_28,262,717.675,3,58
5,SO_0,0,0,0,60
5,PI_10,72,144.975,2,10
5,PI_1,6,207.05,0,1
5,DR_10,72,233.375,3,40
5,DR_1,6,370.675,0,31
5,PI_7,58,430.2,2,7
5,DR_7,58,491.9,3,37
5,PI_14,110,554.175,2,14
5,PI_13,108,595.75,2,13
5,DR_14,110,654.9,3,44
5,DR_13,108,771.725,3,43
