VehicleID,NodeID,RequestTime,ReachTime,NodeType,LacationID
0,SO_0,0,0,0,60
0,PI_5,44,143.85,2,5
0,PI_0,0,156.225,0,0
0,DR_0,0,214.2,0,30
0,DR_5,44,262.05,0,35
0,PI_18,156,293.975,2,18
0,DR_18,156,322.8,0,48
0,PI_25,236,373.175,0,25
0,DR_25,236,420.625,3,55
0,PI_24,220,426.725,2,24
0,DR_24,220,474.65,3,54
0,PI_7,58,571.8,2,7
0,DR_7,58,633.5,3,37
1,SO_0,0,0,0,60
1,PI_2,24,137.05,2,2
1,DR_2,24,213.525,0,32
1,PI_16,134,229.7,2,16
1,PI_15,120,236.4,2,15
1,PI_17,146,293.75,0,17
1,DR_15,120,342.45,0,45
1,DR_16,134,375.725,0,46
1,PI_23,208,399.275,2,23
1,PI_26,238,447.8,2,26
1,DR_26,238,498.375,3,56
1,PI_27,244,582.75,2,27
1,DR_27,244,709.425,3,57
1,DR_17,146,764.425,3,47
1,DR_23,208,844.9,3,53
2,SO_0,0,0,0,60
2,PI_3,40,195.525,0,3
2,PI_12,90,249.65,0,12
2,DR_3,40,288.4,0,33
2,PI_19,170,323.325,0,19
2,PI_22,200,355.075,0,22
2,DR_22,200,396.25,3,52
2,PI_20,178,442.375,2,20
2,DR_19,170,514.9,3,49
2,DR_20,178,595.2,3,50
2,DR_12,90,677.625,3,42
3,SO_0,0,0,0,60
3,PI_4,42,175.325,0,4
3,DR_4,42,306.6,0,34
3,PI_14,110,387.775,0,14
3,PI_13,108,429.35,2,13
3,PI_28,262,521.025,2,28
3,DR_13,108,538.625,3,43
3,DR_14,110,657.225,3,44
3,DR_28,262,677.725,3,58
4,SO_0,0,0,0,60
4,PI_8,60,164.1,2,8
4,PI_11,80,181.025,2,11
4,PI_6,48,228.9,0,6
4,DR_8,60,280.15,0,38
4,PI_21,196,394.95,0,21
4,DR_11,80,479.4,3,41
4,DR_21,196,490.65,3,51
4,PI_29,280,543.05,2,29
4,DR_29,280,608.725,3,59
4,DR_6,48,654.275,3,36
5,SO_0,0,0,0,60
5,PI_10,72,144.975,2,10
5,PI_1,6,207.05,0,1
5,PI_9,66,290.425,0,9
5,DR_10,72,368.375,0,40
5,DR_1,6,505.675,3,31
5,DR_9,66,535.15,3,39
