VehicleID,NodeID,RequestTime,ReachTime,NodeType,LacationID
0,SO_0,0,0,0,60
0,PI_5,44,143.85,2,5
0,PI_0,0,156.225,0,0
0,DR_0,0,214.2,0,30
0,PI_13,108,324.75,0,13
0,DR_5,44,427.6,0,35
0,PI_24,220,497.1,2,24
0,DR_24,220,545.025,3,54
0,PI_29,280,591,2,29
0,DR_29,280,656.675,3,59
0,DR_13,108,705.125,3,43
0,PI_7,58,793.075,2,7
0,DR_7,58,854.775,3,37
1,SO_0,0,0,0,60
1,PI_2,24,137.05,2,2
1,DR_2,24,213.525,0,32
1,PI_16,134,229.7,2,16
1,PI_15,120,236.4,2,15
1,DR_15,120,253.425,0,45
1,PI_21,196,285.625,2,21
1,PI_17,146,344.175,0,17
1,DR_16,134,418.325,0,46
1,DR_17,146,480.8,3,47
1,DR_21,196,537.55,3,51
2,SO_0,0,0,0,60
2,PI_3,40,195.525,0,3
2,DR_3,40,235.375,0,33
2,PI_12,90,258.175,0,12
2,PI_18,156,296.5,2,18
2,DR_18,156,325.325,0,48
2,PI_25,236,375.7,0,25
2,DR_25,236,423.15,3,55
2,PI_28,262,447.625,2,28
2,PI_23,208,558.575,2,23
2,DR_28,262,592.95,3,58
2,DR_12,90,650.575,3,42
2,DR_23,208,815.325,3,53
3,SO_0,0,0,0,60
3,PI_4,42,175.325,0,4
3,DR_4,42,306.6,0,34
3,PI_20,178,344.225,2,20
3,PI_14,110,393.65,0,14
3,PI_27,244,531.45,2,27
3,DR_14,110,644.075,3,44
3,DR_20,178,684.05,3,50
3,DR_27,244,714.05,3,57
4,SO_0,0,0,0,60
4,PI_8,60,164.1,2,8
4,PI_11,80,181.025,2,11
4,PI_6,48,228.9,0,6
4,DR_8,60,280.15,0,38
4,DR_11,80,332.375,0,41
4,PI_26,238,414.05,0,26
4,DR_26,238,464.625,3,56
4,DR_6,48,552.3,3,36
5,SO_0,0,0,0,60
5,PI_10,72,144.975,2,10
5,PI_1,6,207.05,0,1
5,DR_10,72,233.375,3,40
5,DR_1,6,370.675,0,31
5,PI_19,170,399.375,2,19
5,PI_22,200,431.125,2,22
5,PI_9,66,535.8,2,9
5,DR_22,200,611.925,3,52
5,DR_19,170,654.4,3,49
5,DR_9,66,721.95,3,39
