VehicleID,NodeID,RequestTime,ReachTime,NodeType,LacationID
0,SO_0,0,0,0,60
0,PI_5,44,143.85,2,5
0,PI_0,0,156.225,0,0
0,DR_0,0,214.2,0,30
0,PI_14,110,302.625,0,14
0,DR_14,110,327.975,3,44
0,PI_25,236,407.275,0,25
0,DR_25,236,454.725,3,55
0,DR_5,44,522.125,3,35
1,SO_0,0,0,0,60
1,PI_2,24,137.05,2,2
1,DR_2,24,213.525,0,32
1,PI_9,66,283.95,0,9
1,DR_9,66,393.925,0,39
1,PI_28,262,447.025,2,28
1,PI_24,220,478.75,2,24
1,DR_24,220,526.675,3,54
1,PI_26,238,587.425,2,26
1,PI_23,208,631.675,2,23
1,DR_28,262,666.05,3,58
1,DR_26,238,725.85,3,56
1,DR_23,208,875.7,3,53
2,SO_0,0,0,0,60
2,PI_3,40,195.525,0,3
2,DR_3,40,235.375,0,33
2,PI_7,58,269.75,0,7
2,DR_7,58,331.45,0,37
2,PI_22,200,342.725,2,22
2,PI_20,178,351,0,20
2,DR_20,178,399.5,3,50
2,PI_13,108,442,2,13
2,DR_22,200,512.6,3,52
2,DR_13,108,580.625,3,43
3,SO_0,0,0,0,60
3,PI_4,42,175.325,0,4
3,DR_4,42,306.6,0,34
3,PI_17,146,381.425,0,17
3,PI_16,134,447.45,2,16
3,PI_15,120,454.15,2,15
3,DR_15,120,471.175,3,45
3,DR_16,134,504.45,3,46
3,DR_17,146,566.925,3,47
4,SO_0,0,0,0,60
4,PI_8,60,164.1,2,8
4,PI_11,80,181.025,2,11
4,PI_6,48,228.9,0,6
4,DR_8,60,280.15,0,38
4,PI_18,156,337.475,0,18
4,DR_18,156,366.3,0,48
4,PI_21,196,510.45,2,21
4,DR_11,80,594.9,3,41
4,DR_21,196,606.15,3,51
4,DR_6,48,643.775,3,36
5,SO_0,0,0,0,60
5,PI_10,72,144.975,2,10
5,PI_1,6,207.05,0,1
5,DR_10,72,233.375,3,40
5,DR_1,6,370.675,0,31
5,PI_12,90,412.7,2,12
5,PI_19,170,455.9,2,19
5,DR_19,170,509.05,3,49
5,DR_12,90,654.85,3,42
