VehicleID,NodeID,RequestTime,ReachTime,NodeType,LacationID
0,SO_0,0,0,0,60
0,PI_5,44,143.85,2,5
0,PI_0,0,156.225,0,0
0,DR_0,0,214.2,0,30
0,PI_13,108,324.75,0,13
0,DR_5,44,427.6,0,35
0,PI_24,220,497.1,2,24
0,DR_13,108,543.725,3,43
0,PI_28,262,573.425,2,28
0,DR_24,220,645.35,3,54
0,DR_28,262,716,3,58
1,SO_0,0,0,0,60
1,PI_2,24,137.05,2,2
1,DR_2,24,213.525,0,32
1,PI_16,134,229.7,2,16
1,PI_15,120,236.4,2,15
1,DR_15,120,253.425,0,45
1,PI_21,196,285.625,2,21
1,PI_17,146,344.175,0,17
1,DR_16,134,418.325,0,46
1,DR_17,146,480.8,3,47
1,DR_21,196,537.55,3,51
2,SO_0,0,0,0,60
2,PI_3,40,195.525,0,3
2,DR_3,40,235.375,0,33
2,PI_12,90,258.175,0,12
2,PI_18,156,296.5,2,18
2,DR_18,156,325.325,0,48
2,PI_25,236,375.7,0,25
2,DR_25,236,423.15,3,55
2,PI_29,280,437,2,29
2,PI_27,244,599.05,2,27
2,DR_12,90,665.075,3,42
2,DR_27,244,740.65,3,57
2,DR_29,280,842.25,3,59
3,SO_0,0,0,0,60
3,PI_4,42,175.325,0,4
3,DR_4,42,306.6,0,34
3,PI_20,178,344.225,2,20
3,DR_20,178,392.725,0,50
3,PI_23,208,423.2,2,23
3,PI_19,170,503.025,2,19
3,DR_23,208,568.35,3,53
3,DR_19,170,615.25,3,49
3,PI_7,58,643.525,2,7
3,DR_7,58,705.225,3,37
4,SO_0,0,0,0,60
4,PI_8,60,164.1,2,8
4,PI_11,80,181.025,2,11
4,PI_6,48,228.9,0,6
4,DR_8,60,280.15,0,38
4,DR_11,80,332.375,0,41
4,PI_26,238,414.05,0,26
4,DR_26,238,464.625,3,56
4,DR_6,48,552.3,3,36
5,SO_0,0,0,0,60
5,PI_10,72,144.975,2,10
5,PI_1,6,207.05,0,1
5,DR_10,72,233.375,3,40
5,DR_1,6,370.675,0,31
5,PI_22,200,401.25,2,22
5,PI_14,110,458.95,2,14
5,DR_14,110,484.3,3,44
5,PI_9,66,507.175,2,9
5,DR_22,200,583.3,3,52
5,DR_9,66,648.9,3,39
