Epoch, ISUDIter,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
1,0,0,SO_0,0,0,0,40.7439,-73.9899,60
1,0,0,PI_5,44,0,2,40.7496,-73.9953,5
1,0,0,PI_0,0,0,2,40.7509,-73.9927,0
1,0,0,PI_6,48,0,2,40.7562,-73.9924,6
1,0,0,DR_6,48,0,3,40.7516,-73.9711,36
1,0,0,DR_0,0,0,3,40.7605,-73.9802,30
1,0,0,DR_5,44,0,3,40.769,-73.9822,35
1,0,1,SO_0,0,0,0,40.7439,-73.9899,60
1,0,1,PI_2,24,0,2,40.7417,-73.992,2
1,0,1,DR_2,24,0,3,40.7272,-73.9937,32
1,0,2,SO_0,0,0,0,40.7439,-73.9899,60
1,0,2,PI_3,40,0,2,40.7667,-73.9832,3
1,0,2,PI_1,6,0,2,40.7224,-73.9971,1
1,0,2,DR_1,6,0,3,40.7534,-73.9853,31
1,0,2,DR_3,40,0,3,40.7576,-73.9907,33
1,0,3,SO_0,0,0,0,40.7439,-73.9899,60
1,0,3,PI_4,42,0,2,40.7334,-74.003,4
1,0,3,DR_4,42,0,3,40.759,-73.9785,34
1,0,4,SO_0,0,0,0,40.7439,-73.9899,60
1,0,5,SO_0,0,0,0,40.7439,-73.9899,60
2,0,0,PI_0,0,156.225,0,40.7509,-73.9927,0
2,0,0,DR_0,0,0,3,40.7605,-73.9802,30
2,0,0,DR_5,44,0,3,40.769,-73.9822,35
2,0,1,DR_2,24,213.525,0,40.7272,-73.9937,32
2,0,1,PI_9,66,0,2,40.7391,-74.0031,9
2,0,1,PI_12,90,0,2,40.7569,-73.9857,12
2,0,1,DR_9,66,0,3,40.758,-73.9756,39
2,0,1,DR_12,90,0,3,40.7294,-73.9914,42
2,0,2,PI_3,40,195.525,0,40.7667,-73.9832,3
2,0,2,DR_3,40,0,3,40.7576,-73.9907,33
2,0,3,PI_4,42,175.325,0,40.7334,-74.003,4
2,0,3,DR_4,42,0,3,40.759,-73.9785,34
2,0,3,PI_7,58,0,2,40.762,-74.0017,7
2,0,3,DR_7,58,0,3,40.7497,-73.9876,37
2,0,4,SO_0,0,0,0,40.7439,-73.9899,60
2,0,4,PI_8,60,0,2,40.7581,-73.9752,8
2,0,4,PI_11,80,0,2,40.757,-73.9784,11
2,0,4,PI_6,48,0,2,40.7562,-73.9924,6
2,0,4,DR_8,60,0,3,40.7492,-73.9878,38
2,0,4,DR_11,80,0,3,40.7425,-73.9782,41
2,0,4,DR_6,48,0,3,40.7516,-73.9711,36
2,0,5,SO_0,0,0,0,40.7439,-73.9899,60
2,0,5,PI_10,72,0,2,40.7346,-73.9949,10
2,0,5,PI_1,6,0,2,40.7224,-73.9971,1
2,0,5,DR_10,72,0,3,40.7239,-74.001,40
2,0,5,DR_1,6,0,3,40.7534,-73.9853,31
2,1,0,PI_0,0,156.225,0,40.7509,-73.9927,0
2,1,0,DR_0,0,0,3,40.7605,-73.9802,30
2,1,0,DR_5,44,0,3,40.769,-73.9822,35
2,1,0,PI_7,58,0,2,40.762,-74.0017,7
2,1,0,DR_7,58,0,3,40.7497,-73.9876,37
2,1,1,DR_2,24,213.525,0,40.7272,-73.9937,32
2,1,1,PI_9,66,0,2,40.7391,-74.0031,9
2,1,1,PI_12,90,0,2,40.7569,-73.9857,12
2,1,1,DR_9,66,0,3,40.758,-73.9756,39
2,1,1,DR_12,90,0,3,40.7294,-73.9914,42
2,1,2,PI_3,40,195.525,0,40.7667,-73.9832,3
2,1,2,DR_3,40,0,3,40.7576,-73.9907,33
2,1,3,PI_4,42,175.325,0,40.7334,-74.003,4
2,1,3,DR_4,42,0,3,40.759,-73.9785,34
2,1,4,SO_0,0,0,0,40.7439,-73.9899,60
2,1,4,PI_8,60,0,2,40.7581,-73.9752,8
2,1,4,PI_11,80,0,2,40.757,-73.9784,11
2,1,4,PI_6,48,0,2,40.7562,-73.9924,6
2,1,4,DR_8,60,0,3,40.7492,-73.9878,38
2,1,4,DR_11,80,0,3,40.7425,-73.9782,41
2,1,4,DR_6,48,0,3,40.7516,-73.9711,36
2,1,5,SO_0,0,0,0,40.7439,-73.9899,60
2,1,5,PI_10,72,0,2,40.7346,-73.9949,10
2,1,5,PI_1,6,0,2,40.7224,-73.9971,1
2,1,5,DR_10,72,0,3,40.7239,-74.001,40
2,1,5,DR_1,6,0,3,40.7534,-73.9853,31
2,2,0,PI_0,0,156.225,0,40.7509,-73.9927,0
2,2,0,DR_0,0,0,3,40.7605,-73.9802,30
2,2,0,DR_5,44,0,3,40.769,-73.9822,35
2,2,1,DR_2,24,213.525,0,40.7272,-73.9937,32
2,2,1,PI_9,66,0,2,40.7391,-74.0031,9
2,2,1,PI_12,90,0,2,40.7569,-73.9857,12
2,2,1,DR_9,66,0,3,40.758,-73.9756,39
2,2,1,DR_12,90,0,3,40.7294,-73.9914,42
2,2,2,PI_3,40,195.525,0,40.7667,-73.9832,3
2,2,2,DR_3,40,0,3,40.7576,-73.9907,33
2,2,2,PI_7,58,0,2,40.762,-74.0017,7
2,2,2,DR_7,58,0,3,40.7497,-73.9876,37
2,2,3,PI_4,42,175.325,0,40.7334,-74.003,4
2,2,3,DR_4,42,0,3,40.759,-73.9785,34
2,2,4,SO_0,0,0,0,40.7439,-73.9899,60
2,2,4,PI_8,60,0,2,40.7581,-73.9752,8
2,2,4,PI_11,80,0,2,40.757,-73.9784,11
2,2,4,PI_6,48,0,2,40.7562,-73.9924,6
2,2,4,DR_8,60,0,3,40.7492,-73.9878,38
2,2,4,DR_11,80,0,3,40.7425,-73.9782,41
2,2,4,DR_6,48,0,3,40.7516,-73.9711,36
2,2,5,SO_0,0,0,0,40.7439,-73.9899,60
2,2,5,PI_10,72,0,2,40.7346,-73.9949,10
2,2,5,PI_1,6,0,2,40.7224,-73.9971,1
2,2,5,DR_10,72,0,3,40.7239,-74.001,40
2,2,5,DR_1,6,0,3,40.7534,-73.9853,31
3,0,0,DR_0,0,214.2,0,40.7605,-73.9802,30
3,0,0,PI_14,110,0,2,40.7431,-73.9964,14
3,0,0,PI_13,108,0,2,40.7488,-74.0069,13
