instance,Algorithm,Mode,# requests,# vehicles,# Threads,# customers,customer Group,# served requests,avg. wait time/trip,avg. wait/cust,avg. trip delay/trip,idel time/vehicle,# Idle Vehicles,avg. pass in vehicle,# epoch,ISUD time,RP time,CP time,Zoom time,SP time,Greedy time,Assign time
20150706_07-120m,GREEDY,STATIC,30749,2000,8,45097,40000 - 50000,30749,152.114,103.718,124.247,0,236,1.8468,0,0,0,0,0,0,16.2232,0,
20150715_07-120m,GREEDY,STATIC,39550,2000,8,57147,50000 <,39550,155.789,107.818,137.594,0,199,2.00434,0,0,0,0,0,0,24.958,0,
20150804_07-120m,GREEDY,STATIC,36757,2000,8,53854,50000 <,36757,153.908,105.047,134.92,0,224,1.96034,0,0,0,0,0,0,21.8298,0,
20150828_07-120m,GREEDY,STATIC,29476,2000,8,42918,40000 - 50000,29476,127.872,87.8224,118.043,0,296,1.75984,0,0,0,0,0,0,13.7487,0,
20150917_07-120m,GREEDY,STATIC,40567,2000,8,59790,50000 <,40567,145.338,98.6108,137.292,0,244,2.02122,0,0,0,0,0,0,24.5759,0,
20150926_07-120m,GREEDY,STATIC,17709,2000,8,26925,< 40000,17709,76.4578,50.2875,69.1505,0,549,1.32762,0,0,0,0,0,0,5.3021,0,
20151008_07-120m,GREEDY,STATIC,39944,2000,8,58885,50000 <,39944,154.267,104.645,136.959,0,230,2.01683,0,0,0,0,0,0,24.7339,0,
20151025_07-120m,GREEDY,STATIC,12856,2000,8,19276,< 40000,12856,70.7782,47.2051,63.3091,0,616,1.21745,0,0,0,0,0,0,3.42564,0,
20151110_07-120m,GREEDY,STATIC,40398,2000,8,59460,50000 <,40398,144.856,98.4172,135.97,0,277,2.01769,0,0,0,0,0,0,24.2865,0,
20151130_07-120m,GREEDY,STATIC,35726,2000,8,52489,50000 <,35726,129.745,88.3094,127.127,0,298,1.89492,0,0,0,0,0,0,18.5224,0,
20151211_07-120m,GREEDY,STATIC,38730,2000,8,57303,50000 <,38730,128.251,86.6822,129.335,0,295,1.93277,0,0,0,0,0,0,21.0566,0,
20151230_07-120m,GREEDY,STATIC,18450,2000,8,27353,< 40000,18450,90.1406,60.8012,88.8388,0,515,1.46871,0,0,0,0,0,0,5.80712,0,
20160109_07-120m,GREEDY,STATIC,14091,2000,8,20654,< 40000,14091,81.5292,55.6225,77.74,0,613,1.32513,0,0,0,0,0,0,3.97006,0,
20160129_07-120m,GREEDY,STATIC,38984,2000,8,57010,50000 <,38984,129.9,88.8268,129.66,0,284,1.93537,0,0,0,0,0,0,21.5516,0,
20160222_07-120m,GREEDY,STATIC,37214,2000,8,54517,50000 <,37214,141.9,96.8624,133.526,0,257,1.95878,0,0,0,0,0,0,20.9579,0,
20160225_07-120m,GREEDY,STATIC,40698,2000,8,59820,50000 <,40698,152.136,103.504,137.329,0,226,2.01826,0,0,0,0,0,0,25.323,0,
20160316_07-120m,GREEDY,STATIC,40474,2000,8,59536,50000 <,40474,145.502,98.9158,135.369,0,237,1.99807,0,0,0,0,0,0,24.5688,0,
20160329_07-120m,GREEDY,STATIC,36526,2000,8,53190,50000 <,36526,156.86,107.717,130.06,0,156,1.9195,0,0,0,0,0,0,21.6572,0,
20160401_07-120m,GREEDY,STATIC,37367,2000,8,54300,50000 <,37367,149.06,102.577,129.194,0,202,1.91373,0,0,0,0,0,0,21.8888,0,
20160427_07-120m,GREEDY,STATIC,37973,2000,8,55281,50000 <,37973,142.587,97.9444,131.806,0,245,1.94098,0,0,0,0,0,0,22.0317,0,
20160512_07-120m,GREEDY,STATIC,39427,2000,8,57523,50000 <,39427,148.963,102.101,134.517,0,265,1.9848,0,0,0,0,0,0,23.4758,0,
20160521_07-120m,GREEDY,STATIC,16080,2000,8,23517,< 40000,16080,73.8402,50.489,64.8916,0,540,1.22989,0,0,0,0,0,0,4.58437,0,
20160613_07-120m,GREEDY,STATIC,33460,2000,8,48668,40000 - 50000,33460,140.455,96.5648,128.636,0,304,1.90398,0,0,0,0,0,0,17.4185,0,
20160628_07-120m,GREEDY,STATIC,34544,2000,8,49899,40000 - 50000,34544,140.525,97.2821,126.339,0,242,1.8775,0,0,0,0,0,0,18.2706,0,
