passenger_count,pickup_ID,dropoff_ID,request_time_sec,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
1,0,1922,39609,40.72217178344727,-73.99713897705078,40.72216033935546,-74.0033187866211
3,1,1923,39624,40.7264060974121,-74.00910186767578,40.73334503173828,-74.00742340087889
1,2,1924,39625,40.71858215332031,-73.98770141601561,40.72134017944336,-73.9925765991211
1,3,1925,39626,40.72140884399414,-73.98358154296875,40.71976089477539,-73.9779281616211
1,4,1926,39639,40.71869659423828,-73.9891128540039,40.70434188842773,-74.01161193847656
1,5,1927,39640,40.72437286376953,-73.99775695800781,40.71828842163086,-74.00732421875
1,6,1928,39646,40.71122360229492,-74.01591491699217,40.714458465576165,-74.00865936279298
1,7,1929,39647,40.7181053161621,-74.00025939941406,40.70481491088867,-74.01056671142578
1,8,1930,39656,40.716995239257805,-74.01290130615233,40.70291519165039,-74.01457977294923
1,9,1931,39656,40.715091705322266,-73.9924087524414,40.70160675048828,-74.01230621337889
1,10,1932,39658,40.73638916015625,-74.00125122070312,40.713970184326165,-74.01434326171875
1,11,1933,39660,40.73061752319336,-73.99266052246092,40.72468948364258,-73.99732971191406
1,12,1934,39664,40.73038864135742,-73.99601745605469,40.720169067382805,-74.00263977050781
1,13,1935,39666,40.7123908996582,-74.0077896118164,40.721290588378906,-74.00994110107422
1,14,1936,39670,40.72610092163086,-73.99181365966798,40.72043991088867,-73.99964141845702
1,15,1937,39678,40.725868225097656,-73.99646759033203,40.71120071411133,-74.01499938964845
2,16,1938,39682,40.720008850097656,-73.99897003173827,40.717090606689446,-74.01268768310547
1,17,1939,39690,40.715370178222656,-74.01583862304686,40.71685791015625,-74.0063247680664
1,18,1940,39695,40.73685836791992,-74.00556182861328,40.724700927734375,-73.99442291259764
1,19,1941,39702,40.72133255004882,-74.00637817382812,40.71797943115234,-74.00308990478516
1,20,1942,39704,40.71934509277344,-73.9906005859375,40.704902648925774,-74.01500701904298
1,21,1943,39704,40.73429489135742,-74.00234985351561,40.73025894165039,-74.0069808959961
2,22,1944,39705,40.71525955200195,-74.00958251953125,40.723499298095696,-74.00750732421875
1,23,1945,39706,40.727783203125,-74.00538635253906,40.723876953125,-74.0026092529297
1,24,1946,39710,40.72550964355469,-73.99942779541014,40.726219177246094,-74.00168609619139
1,25,1947,39710,40.72921371459961,-74.00141143798828,40.72087097167969,-73.99948120117188
1,26,1948,39719,40.70327377319336,-74.01081848144531,40.70327377319336,-74.01081848144531
1,27,1949,39724,40.72646331787109,-74.00749969482422,40.74081802368164,-74.00768280029298
