,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,min_travel_time
214374,2015-07-01 16:00:00,2015-07-01 16:04:36,1,0.5,-73.9762191772461,40.75990295410156,-73.97783660888672,40.75374221801758,276
214378,2015-07-01 16:00:02,2015-07-01 16:19:01,1,2.12,-73.98886108398438,40.73672866821289,-73.97212219238281,40.76187133789063,1139
214379,2015-07-01 16:00:02,2015-07-01 16:13:52,1,1.62,-73.97390747070312,40.76420211791992,-73.9885482788086,40.74583053588867,830
214381,2015-07-01 16:00:03,2015-07-01 16:15:36,2,0.9,-74.00374603271484,40.717132568359375,-74.01374816894531,40.70794296264648,933
214383,2015-07-01 16:00:04,2015-07-01 16:16:46,1,2.0,-73.97357177734375,40.76362991333008,-73.99228668212889,40.74352645874024,1002
214384,2015-07-01 16:00:04,2015-07-01 16:24:02,1,1.9,-73.97692108154298,40.74985504150391,-73.99016571044923,40.76717758178711,1438
214385,2015-07-01 16:00:04,2015-07-01 16:08:51,1,1.07,-73.99242401123048,40.76888275146485,-73.99372100830078,40.75968170166016,527
214386,2015-07-01 16:00:04,2015-07-01 16:22:44,1,4.72,-74.00752258300781,40.705669403076165,-73.99308776855469,40.74462890625,1360
214389,2015-07-01 16:00:05,2015-07-01 16:02:13,1,0.7,-73.97662353515625,40.74362564086913,-73.9832305908203,40.73471832275391,128
214393,2015-07-01 16:00:05,2015-07-01 16:20:22,1,1.85,-73.97757720947266,40.75777816772461,-73.9850311279297,40.74134826660156,1217
214397,2015-07-01 16:00:06,2015-07-01 16:07:23,2,0.6,-73.98519134521484,40.73233795166016,-73.99475860595702,40.734649658203125,437
214401,2015-07-01 16:00:06,2015-07-01 16:23:22,1,1.64,-73.99120330810547,40.739116668701165,-73.9817123413086,40.757442474365234,1396
214395,2015-07-01 16:00:06,2015-07-01 16:20:51,1,2.2,-74.00112915039062,40.716411590576165,-73.98258209228516,40.74246597290039,1245
214402,2015-07-01 16:00:07,2015-07-01 16:04:51,1,0.6,-73.98108673095702,40.74454879760742,-73.98447418212889,40.73654556274414,284
214404,2015-07-01 16:00:07,2015-07-01 16:19:37,1,1.41,-73.9924087524414,40.7307014465332,-73.98255157470702,40.74565887451172,1170
214406,2015-07-01 16:00:07,2015-07-01 16:15:51,1,1.39,-73.9936294555664,40.74186706542969,-73.97956848144531,40.75235366821289,944
214411,2015-07-01 16:00:08,2015-07-01 16:18:04,1,1.64,-73.96768951416014,40.76265335083008,-73.98636627197266,40.75099563598633,1076
214413,2015-07-01 16:00:09,2015-07-01 16:05:53,1,0.6,-73.98744201660156,40.73286056518555,-73.98136138916014,40.74113464355469,344
214414,2015-07-01 16:00:09,2015-07-01 16:23:24,2,1.5,-74.00141143798828,40.74121475219727,-73.98154449462889,40.7462158203125,1395
214415,2015-07-01 16:00:09,2015-07-01 16:20:24,1,5.1,-73.98278045654298,40.75065612792969,-74.01142883300781,40.70253753662109,1215
214417,2015-07-01 16:00:10,2015-07-01 16:11:14,2,1.3,-73.97830963134764,40.75678253173828,-73.98660278320312,40.740825653076165,664
214419,2015-07-01 16:00:10,2015-07-01 16:33:27,1,3.4,-74.01587677001953,40.711517333984375,-73.99475860595702,40.7503776550293,1997
214420,2015-07-01 16:00:10,2015-07-01 16:08:22,1,0.69,-73.97090148925781,40.76493835449219,-73.97711944580078,40.7572021484375,492
214424,2015-07-01 16:00:11,2015-07-01 16:12:51,5,0.7,-73.9936294555664,40.74166488647461,-74.00312042236328,40.74744415283203,760
214423,2015-07-01 16:00:11,2015-07-01 16:15:14,1,1.0,-74.00335693359375,40.74339294433594,-73.9879608154297,40.73960876464844,903
214430,2015-07-01 16:00:12,2015-07-01 16:11:33,1,1.8,-74.0081558227539,40.72283172607422,-74.0010986328125,40.74645614624024,681
214429,2015-07-01 16:00:12,2015-07-01 16:07:37,1,0.8,-73.96281433105469,40.758262634277344,-73.97699737548828,40.764114379882805,445
214427,2015-07-01 16:00:12,2015-07-01 16:11:50,1,1.3,-73.99163055419923,40.749942779541016,-73.98399353027342,40.73776626586913,698
214428,2015-07-01 16:00:12,2015-07-01 16:26:20,1,2.0,-73.99916076660156,40.72673797607422,-73.99102783203125,40.751850128173835,1568
214439,2015-07-01 16:00:13,2015-07-01 16:29:39,1,3.2,-74.01079559326173,40.71644973754882,-74.00117492675781,40.761844635009766,1766
214440,2015-07-01 16:00:13,2015-07-01 16:23:36,1,2.08,-73.98924255371094,40.74044036865234,-73.97122955322266,40.758548736572266,1403
214441,2015-07-01 16:00:14,2015-07-01 16:31:59,2,1.9,-74.00282287597656,40.733692169189446,-73.99054718017578,40.755889892578125,1905
214443,2015-07-01 16:00:14,2015-07-01 16:31:20,1,7.22,-73.97846221923827,40.760040283203125,-74.0164794921875,40.71633529663086,1866
214445,2015-07-01 16:00:14,2015-07-01 16:11:30,1,2.16,-74.00958251953125,40.72080993652344,-74.00729370117188,40.705276489257805,676
214448,2015-07-01 16:00:15,2015-07-01 16:16:47,1,1.9,-74.00560760498048,40.7183837890625,-73.9918670654297,40.73991394042969,992
214451,2015-07-01 16:00:15,2015-07-01 16:16:26,6,2.32,-73.98777770996092,40.75468063354492,-74.00540161132812,40.726421356201165,971
214455,2015-07-01 16:00:16,2015-07-01 16:04:32,3,0.42,-73.99092864990233,40.73867034912109,-73.99593353271484,40.73822021484375,256
214456,2015-07-01 16:00:16,2015-07-01 16:16:59,1,1.55,-73.99165344238281,40.73851013183594,-73.97662353515625,40.74953079223633,1003
214461,2015-07-01 16:00:17,2015-07-01 16:08:01,2,0.93,-73.97576141357422,40.75921630859375,-73.98453521728516,40.74810409545898,464
214457,2015-07-01 16:00:17,2015-07-01 16:19:19,1,1.7,-73.97085571289062,40.75563430786133,-73.99095916748048,40.75044631958008,1142
214458,2015-07-01 16:00:17,2015-07-01 16:16:50,2,2.4,-73.97824096679686,40.75212860107422,-74.0056915283203,40.740528106689446,993
214462,2015-07-01 16:00:18,2015-07-01 16:03:49,1,0.7,-73.99384307861328,40.725635528564446,-73.98561096191406,40.729316711425774,211
214463,2015-07-01 16:00:18,2015-07-01 16:35:41,1,5.96,-74.0098876953125,40.7036018371582,-73.97559356689453,40.76067733764648,2123
214465,2015-07-01 16:00:19,2015-07-01 16:25:51,1,2.5,-73.98303985595702,40.76607131958008,-73.99015045166014,40.74034118652344,1532
214466,2015-07-01 16:00:19,2015-07-01 16:26:51,1,3.6,-73.99158477783203,40.74924850463867,-74.0163803100586,40.71471405029297,1592
214472,2015-07-01 16:00:21,2015-07-01 16:15:03,1,1.1,-73.99416351318358,40.75106430053711,-73.9783477783203,40.75215911865234,882
214474,2015-07-01 16:00:21,2015-07-01 16:32:40,1,6.3,-74.00707244873048,40.703948974609375,-73.96710205078125,40.76302337646485,1939
214476,2015-07-01 16:00:21,2015-07-01 16:13:51,1,1.07,-73.97130584716798,40.75519180297852,-73.97822570800781,40.76465225219727,810
214478,2015-07-01 16:00:22,2015-07-01 16:03:47,1,0.8,-73.9903564453125,40.75694274902344,-73.98244476318358,40.76747894287109,205
214488,2015-07-01 16:00:23,2015-07-01 16:01:42,3,0.58,-73.97164916992188,40.74642181396485,-73.96610260009764,40.753719329833984,79
214487,2015-07-01 16:00:23,2015-07-01 16:25:58,1,2.87,-74.0074691772461,40.71561813354492,-73.98204803466798,40.74586868286133,1535
214489,2015-07-01 16:00:23,2015-07-01 16:07:44,5,0.76,-74.00472259521484,40.74185180664063,-74.00086975097656,40.735958099365234,441
214483,2015-07-01 16:00:23,2015-07-01 16:05:39,1,0.4,-73.98981475830078,40.7566032409668,-73.98326110839844,40.75572204589844,316
214486,2015-07-01 16:00:23,2015-07-01 16:24:50,3,3.25,-73.99137115478516,40.74968338012695,-74.008544921875,40.71240615844727,1467
214493,2015-07-01 16:00:24,2015-07-01 16:16:08,3,2.8,-73.9865951538086,40.74982833862305,-73.98464965820312,40.72333526611328,944
214494,2015-07-01 16:00:24,2015-07-01 16:33:36,1,3.2,-73.99549865722656,40.724994659423835,-73.9840087890625,40.761756896972656,1992
214492,2015-07-01 16:00:24,2015-07-01 16:18:42,2,3.0,-74.00221252441406,40.75572967529297,-74.00416564941406,40.72185516357422,1098
214496,2015-07-01 16:00:25,2015-07-01 16:11:02,1,1.8,-73.97916412353516,40.7405662536621,-74.00326538085938,40.733245849609375,637
214498,2015-07-01 16:00:25,2015-07-01 16:19:02,2,1.36,-74.00287628173827,40.76042556762695,-73.99108123779298,40.7501106262207,1117
214500,2015-07-01 16:00:25,2015-07-01 16:07:22,2,1.64,-73.97643280029298,40.73981094360352,-73.9611587524414,40.76065826416016,417
214505,2015-07-01 16:00:26,2015-07-01 16:10:22,3,0.95,-73.98748779296875,40.750091552734375,-73.97885131835938,40.761680603027344,596
